Region_description,Network_zones,CapRes_1
TX,z290,0.1375
TX,z291,0.1375
TX,z292,0.1375
TX,z293,0.1375
TX,z294,0.1375
TX,z295,0.1375
TX,z296,0.1375
TX,z297,0.1375
TX,z298,0.1375
TX,z299,0.1375
TX,z300,0.1375
TX,z301,0.1375
TX,z302,0.1375
TX,z303,0.1375
TX,z304,0.1375
TX,z305,0.1375
TX,z306,0.1375
TX,z307,0.1375
TX,z308,0.1375
TX,z309,0.1375
TX,z310,0.1375
TX,z311,0.1375
TX,z312,0.1375
TX,z313,0.1375
TX,z314,0.1375
TX,z315,0.1375
TX,z316,0.1375
TX,z317,0.1375
TX,z318,0.1375
TX,z319,0.1375
TX,z320,0.1375
TX,z321,0.1375
TX,z322,0.1375
TX,z323,0.1375
TX,z324,0.1375
TX,z325,0.1375
TX,z326,0.1375
TX,z327,0.1375
TX,z328,0.1375
TX,z329,0.1375
TX,z330,0.1375
TX,z331,0.1375
TX,z332,0.1375
TX,z333,0.1375
TX,z334,0.1375
TX,z335,0.1375
TX,z336,0.1375
TX,z337,0.1375
TX,z338,0.1375
TX,z339,0.1375
TX,z340,0.1375
TX,z341,0.1375
TX,z342,0.1375
TX,z343,0.1375
TX,z344,0.1375
TX,z345,0.1375
TX,z346,0.1375
TX,z347,0.1375
TX,z348,0.1375
TX,z349,0.1375
TX,z350,0.1375
TX,z351,0.1375
TX,z352,0.1375
TX,z353,0.1375
TX,z354,0.1375
TX,z355,0.1375
TX,z356,0.1375
TX,z357,0.1375
TX,z358,0.1375
TX,z359,0.1375
TX,z360,0.1375
TX,z361,0.1375
TX,z362,0.1375
TX,z363,0.1375
TX,z364,0.1375
TX,z365,0.1375
TX,z366,0.1375
TX,z367,0.1375
TX,z368,0.1375
TX,z369,0.1375
TX,z370,0.1375
TX,z371,0.1375
TX,z372,0.1375
TX,z373,0.1375
TX,z374,0.1375
TX,z375,0.1375
TX,z376,0.1375
TX,z377,0.1375
TX,z378,0.1375
TX,z379,0.1375
TX,z380,0.1375
TX,z381,0.1375
TX,z382,0.1375
TX,z383,0.1375
TX,z384,0.1375
TX,z385,0.1375
TX,z386,0.1375
TX,z387,0.1375
TX,z388,0.1375
TX,z389,0.1375
TX,z390,0.1375
TX,z391,0.1375
TX,z392,0.1375
TX,z393,0.1375
TX,z394,0.1375
TX,z395,0.1375
TX,z396,0.1375
TX,z397,0.1375
TX,z398,0.1375
TX,z399,0.1375
TX,z400,0.1375
TX,z401,0.1375
TX,z402,0.1375
TX,z403,0.1375
TX,z404,0.1375
TX,z405,0.1375
TX,z406,0.1375
TX,z407,0.1375
TX,z408,0.1375
TX,z409,0.1375
TX,z410,0.1375
TX,z411,0.1375
TX,z412,0.1375
TX,z413,0.1375
TX,z414,0.1375
TX,z415,0.1375
TX,z416,0.1375
TX,z417,0.1375
TX,z418,0.1375
TX,z419,0.1375
TX,z420,0.1375
TX,z421,0.1375
TX,z422,0.1375
TX,z423,0.1375
TX,z424,0.1375
TX,z425,0.1375
TX,z426,0.1375
TX,z427,0.1375
TX,z428,0.1375
TX,z429,0.1375
TX,z430,0.1375
TX,z431,0.1375
TX,z432,0.1375
TX,z433,0.1375
TX,z434,0.1375
TX,z435,0.1375
TX,z436,0.1375
TX,z437,0.1375
TX,z438,0.1375
TX,z439,0.1375
TX,z440,0.1375
TX,z441,0.1375
TX,z442,0.1375
TX,z443,0.1375
TX,z444,0.1375
TX,z445,0.1375
TX,z446,0.1375
TX,z447,0.1375
