interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coast,east,far_west,north,north_central,south_central,southern,west,system_total
2025-12-01T00:00:00-06:00,2025-12-01 06:00:00+00:00,2025-12-01T01:00:00-06:00,2025-12-01 07:00:00+00:00,10835.84,1887.28,7802.02,1993.32,14200.19,7505.6,3749.78,1622.41,49596.43
2025-12-01T01:00:00-06:00,2025-12-01 07:00:00+00:00,2025-12-01T02:00:00-06:00,2025-12-01 08:00:00+00:00,10627.56,1808.2,7786.14,1976.5,13860.39,7525.02,3638.78,1674.49,48897.08
2025-12-01T02:00:00-06:00,2025-12-01 08:00:00+00:00,2025-12-01T03:00:00-06:00,2025-12-01 09:00:00+00:00,10591.78,1766.43,7728.02,2011.27,13764.42,7194.17,3513.79,1563.45,48133.32
2025-12-01T03:00:00-06:00,2025-12-01 09:00:00+00:00,2025-12-01T04:00:00-06:00,2025-12-01 10:00:00+00:00,10644.11,1756.47,7577.3,2106.69,13475.21,7160.65,3379.49,1435.26,47535.19
2025-12-01T04:00:00-06:00,2025-12-01 10:00:00+00:00,2025-12-01T05:00:00-06:00,2025-12-01 11:00:00+00:00,10822.54,1757.8,7579.92,2107.25,13649.5,7232.11,3333.71,1377.03,47859.86
2025-12-01T05:00:00-06:00,2025-12-01 11:00:00+00:00,2025-12-01T06:00:00-06:00,2025-12-01 12:00:00+00:00,11340.63,1850.48,7195.82,2101.44,14386.46,7660.6,3521.96,1418.87,49476.26
2025-12-01T06:00:00-06:00,2025-12-01 12:00:00+00:00,2025-12-01T07:00:00-06:00,2025-12-01 13:00:00+00:00,12089.27,1893.37,7119.62,2089.87,15769.1,8273.38,3675.02,1504.2,52413.82
2025-12-01T07:00:00-06:00,2025-12-01 13:00:00+00:00,2025-12-01T08:00:00-06:00,2025-12-01 14:00:00+00:00,12528.31,2004.81,6932.14,1825.32,16635.77,8622.11,3763.78,1495.83,53808.06
2025-12-01T08:00:00-06:00,2025-12-01 14:00:00+00:00,2025-12-01T09:00:00-06:00,2025-12-01 15:00:00+00:00,12871.29,2074.99,6706.89,1721.03,16999.88,8970.49,3695.81,1612.13,54652.51
2025-12-01T09:00:00-06:00,2025-12-01 15:00:00+00:00,2025-12-01T10:00:00-06:00,2025-12-01 16:00:00+00:00,13208.99,2166.73,6793.01,2098.09,17211.86,9142.04,3775.47,1797.21,56193.39
2025-12-01T10:00:00-06:00,2025-12-01 16:00:00+00:00,2025-12-01T11:00:00-06:00,2025-12-01 17:00:00+00:00,13566.72,2255.48,7049.93,2150.89,17515.35,9224.3,3791.38,1634.4,57188.46
2025-12-01T11:00:00-06:00,2025-12-01 17:00:00+00:00,2025-12-01T12:00:00-06:00,2025-12-01 18:00:00+00:00,13740.73,2380.51,7351.84,2357.4,17770.48,9163.74,4022.29,1622.21,58409.21
2025-12-01T12:00:00-06:00,2025-12-01 18:00:00+00:00,2025-12-01T13:00:00-06:00,2025-12-01 19:00:00+00:00,13901.2,2458.06,7758.25,2330.81,17823.78,9237.64,4114.11,1473.82,59097.68
2025-12-01T13:00:00-06:00,2025-12-01 19:00:00+00:00,2025-12-01T14:00:00-06:00,2025-12-01 20:00:00+00:00,13708.33,2433.77,7638.73,2194.45,18168.73,9444.33,4317.91,1588.64,59494.9
2025-12-01T14:00:00-06:00,2025-12-01 20:00:00+00:00,2025-12-01T15:00:00-06:00,2025-12-01 21:00:00+00:00,13593.84,2439.55,7438.59,2238.71,18192.32,9431.8,4365.25,1724.56,59424.62
2025-12-01T15:00:00-06:00,2025-12-01 21:00:00+00:00,2025-12-01T16:00:00-06:00,2025-12-01 22:00:00+00:00,13636.19,2279.37,7642.46,2234.9,17514.26,9256.25,4248.47,1466.41,58278.31
2025-12-01T16:00:00-06:00,2025-12-01 22:00:00+00:00,2025-12-01T17:00:00-06:00,2025-12-01 23:00:00+00:00,13809.4,2273.62,7615.22,2393.6,17761.76,9278.32,4070.96,1243.5,58446.38
2025-12-01T17:00:00-06:00,2025-12-01 23:00:00+00:00,2025-12-01T18:00:00-06:00,2025-12-02 00:00:00+00:00,14072.32,2308.64,7099.66,2197.91,18444.62,9581.48,4148.55,1203.63,59056.81
2025-12-01T18:00:00-06:00,2025-12-02 00:00:00+00:00,2025-12-01T19:00:00-06:00,2025-12-02 01:00:00+00:00,14054.3,2270.27,6855.69,2082.11,18616.91,9674.98,4208.29,1382.13,59144.68
2025-12-01T19:00:00-06:00,2025-12-02 01:00:00+00:00,2025-12-01T20:00:00-06:00,2025-12-02 02:00:00+00:00,13934.92,2182.2,6878.53,1755.66,18312.13,9634.72,4191.18,1445.63,58334.97
2025-12-01T20:00:00-06:00,2025-12-02 02:00:00+00:00,2025-12-01T21:00:00-06:00,2025-12-02 03:00:00+00:00,13779.12,2127.72,6919.31,1657.46,17731.48,9358.08,4180.03,1362.61,57115.83
2025-12-01T21:00:00-06:00,2025-12-02 03:00:00+00:00,2025-12-01T22:00:00-06:00,2025-12-02 04:00:00+00:00,13533.23,2132.62,7092.86,1508.21,17159.8,9050.31,4009.71,1289.19,55775.93
2025-12-01T22:00:00-06:00,2025-12-02 04:00:00+00:00,2025-12-01T23:00:00-06:00,2025-12-02 05:00:00+00:00,13010.48,2005.55,7203.92,1546.22,16523.78,8562.94,3996.62,1298.54,54148.04
2025-12-01T23:00:00-06:00,2025-12-02 05:00:00+00:00,2025-12-02T00:00:00-06:00,2025-12-02 06:00:00+00:00,12580.59,2010.78,7382.51,1506.32,16193.02,8400.95,3936.66,1396.08,53406.91
