interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coast,east,far_west,north,north_central,south_central,southern,west,system_total
2025-06-01T00:00:00-05:00,2025-06-01 05:00:00+00:00,2025-06-01T01:00:00-05:00,2025-06-01 06:00:00+00:00,14112.58,1699.52,7642.96,1710.32,13522.6,8475.46,4325.47,1536.62,53025.54
2025-06-01T01:00:00-05:00,2025-06-01 06:00:00+00:00,2025-06-01T02:00:00-05:00,2025-06-01 07:00:00+00:00,13605.97,1500.81,7495.24,1603.03,12545.74,7926.61,4143.81,1452.43,50273.63
2025-06-01T02:00:00-05:00,2025-06-01 07:00:00+00:00,2025-06-01T03:00:00-05:00,2025-06-01 08:00:00+00:00,12989.78,1381.07,7354.49,1527.22,11738.83,7542.95,4001.45,1350.47,47886.27
2025-06-01T03:00:00-05:00,2025-06-01 08:00:00+00:00,2025-06-01T04:00:00-05:00,2025-06-01 09:00:00+00:00,12778.3,1345.02,7294.11,1495.63,11220.14,7262.82,3831.58,1332.54,46560.14
2025-06-01T04:00:00-05:00,2025-06-01 09:00:00+00:00,2025-06-01T05:00:00-05:00,2025-06-01 10:00:00+00:00,12415.52,1449.95,7377.85,1483.62,10936.74,7131.65,3729.98,1299.09,45824.4
2025-06-01T05:00:00-05:00,2025-06-01 10:00:00+00:00,2025-06-01T06:00:00-05:00,2025-06-01 11:00:00+00:00,12280.47,1335.83,7434.25,1454.46,10797.73,6951.09,3708.26,1251.48,45213.56
2025-06-01T06:00:00-05:00,2025-06-01 11:00:00+00:00,2025-06-01T07:00:00-05:00,2025-06-01 12:00:00+00:00,12077.95,1290.35,7309.55,1512.16,10788.42,6952.71,3639.96,1169.99,44741.1
2025-06-01T07:00:00-05:00,2025-06-01 12:00:00+00:00,2025-06-01T08:00:00-05:00,2025-06-01 13:00:00+00:00,12529.13,1360.47,7549.05,1685.27,11266.95,7146.0,3696.0,1271.5,46504.38
2025-06-01T08:00:00-05:00,2025-06-01 13:00:00+00:00,2025-06-01T09:00:00-05:00,2025-06-01 14:00:00+00:00,13715.55,1590.2,8129.38,1794.61,12513.58,7769.2,4101.82,1415.12,51029.45
2025-06-01T09:00:00-05:00,2025-06-01 14:00:00+00:00,2025-06-01T10:00:00-05:00,2025-06-01 15:00:00+00:00,14482.07,1724.64,8355.72,1845.07,13446.33,8702.47,4441.74,1578.15,54576.2
