interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coast,east,far_west,north,north_central,south_central,southern,west,system_total
2025-08-01T00:00:00-05:00,2025-08-01 05:00:00+00:00,2025-08-01T01:00:00-05:00,2025-08-01 06:00:00+00:00,15974.26,2007.85,7646.71,2185.04,18270.95,10899.9,4980.84,1702.13,63667.68
2025-08-01T01:00:00-05:00,2025-08-01 06:00:00+00:00,2025-08-01T02:00:00-05:00,2025-08-01 07:00:00+00:00,15381.3,1883.1,7558.37,2229.53,17195.55,10117.49,4822.13,1676.34,60863.81
2025-08-01T02:00:00-05:00,2025-08-01 07:00:00+00:00,2025-08-01T03:00:00-05:00,2025-08-01 08:00:00+00:00,14967.25,1795.23,7292.99,1983.22,16302.85,9556.82,4553.53,1718.11,58169.99
2025-08-01T03:00:00-05:00,2025-08-01 08:00:00+00:00,2025-08-01T04:00:00-05:00,2025-08-01 09:00:00+00:00,14625.09,1785.93,7254.07,1987.79,15674.41,9203.49,4383.95,1606.85,56521.59
2025-08-01T04:00:00-05:00,2025-08-01 09:00:00+00:00,2025-08-01T05:00:00-05:00,2025-08-01 10:00:00+00:00,14660.83,1740.22,7278.31,1962.48,15544.71,9004.17,4336.98,1595.96,56123.66
2025-08-01T05:00:00-05:00,2025-08-01 10:00:00+00:00,2025-08-01T06:00:00-05:00,2025-08-01 11:00:00+00:00,14930.69,1764.03,7044.79,1992.03,15573.95,8963.34,4290.88,1545.63,56105.36
2025-08-01T06:00:00-05:00,2025-08-01 11:00:00+00:00,2025-08-01T07:00:00-05:00,2025-08-01 12:00:00+00:00,15168.47,1825.71,7141.7,2014.95,15765.1,9065.02,4311.01,1539.01,56830.97
2025-08-01T07:00:00-05:00,2025-08-01 12:00:00+00:00,2025-08-01T08:00:00-05:00,2025-08-01 13:00:00+00:00,15416.62,1808.96,7061.37,2122.96,16206.12,9186.76,4308.25,1565.24,57676.28
2025-08-01T08:00:00-05:00,2025-08-01 13:00:00+00:00,2025-08-01T09:00:00-05:00,2025-08-01 14:00:00+00:00,16218.12,1965.75,8162.64,2477.77,17195.81,9820.2,4491.05,1849.12,62180.46
2025-08-01T09:00:00-05:00,2025-08-01 14:00:00+00:00,2025-08-01T10:00:00-05:00,2025-08-01 15:00:00+00:00,17293.77,2330.04,8910.77,2375.66,18473.46,10564.67,5275.05,2030.26,67253.68
2025-08-01T10:00:00-05:00,2025-08-01 15:00:00+00:00,2025-08-01T11:00:00-05:00,2025-08-01 16:00:00+00:00,17703.0,2335.81,8939.74,2373.47,19406.43,11526.97,5681.8,2074.93,70042.14
2025-08-01T11:00:00-05:00,2025-08-01 16:00:00+00:00,2025-08-01T12:00:00-05:00,2025-08-01 17:00:00+00:00,18279.99,2394.42,8542.31,2359.66,20633.22,12190.93,5870.78,1898.97,72170.28
2025-08-01T12:00:00-05:00,2025-08-01 17:00:00+00:00,2025-08-01T13:00:00-05:00,2025-08-01 18:00:00+00:00,18873.5,2564.42,8309.78,2381.04,22097.28,13024.03,6135.31,1855.01,75240.38
2025-08-01T13:00:00-05:00,2025-08-01 18:00:00+00:00,2025-08-01T14:00:00-05:00,2025-08-01 19:00:00+00:00,19705.05,2680.9,8132.2,2432.56,23294.69,13833.78,6304.03,1896.75,78279.96
2025-08-01T14:00:00-05:00,2025-08-01 19:00:00+00:00,2025-08-01T15:00:00-05:00,2025-08-01 20:00:00+00:00,20407.07,2765.57,7840.4,1943.08,24266.69,14439.35,6394.26,1956.06,80012.48
2025-08-01T15:00:00-05:00,2025-08-01 20:00:00+00:00,2025-08-01T16:00:00-05:00,2025-08-01 21:00:00+00:00,20971.6,2829.66,7220.54,1804.2,24726.58,14693.75,6576.41,1995.1,80817.86
2025-08-01T16:00:00-05:00,2025-08-01 21:00:00+00:00,2025-08-01T17:00:00-05:00,2025-08-01 22:00:00+00:00,21392.54,2810.27,7084.45,1763.28,24859.08,14987.14,6715.22,2042.76,81654.74
2025-08-01T17:00:00-05:00,2025-08-01 22:00:00+00:00,2025-08-01T18:00:00-05:00,2025-08-01 23:00:00+00:00,21508.38,2748.07,6889.16,1800.85,24625.31,15005.39,6741.62,2024.61,81343.39
2025-08-01T18:00:00-05:00,2025-08-01 23:00:00+00:00,2025-08-01T19:00:00-05:00,2025-08-02 00:00:00+00:00,21232.18,2609.69,6853.63,2125.76,23988.1,14758.42,6583.02,1992.02,80142.82
2025-08-01T19:00:00-05:00,2025-08-02 00:00:00+00:00,2025-08-01T20:00:00-05:00,2025-08-02 01:00:00+00:00,20317.73,2508.08,6728.36,2066.24,22650.27,14020.79,6518.92,1902.97,76713.36
2025-08-01T20:00:00-05:00,2025-08-02 01:00:00+00:00,2025-08-01T21:00:00-05:00,2025-08-02 02:00:00+00:00,19720.54,2359.56,6702.15,1936.1,21531.73,13360.68,6371.96,1819.81,73802.53
2025-08-01T21:00:00-05:00,2025-08-02 02:00:00+00:00,2025-08-01T22:00:00-05:00,2025-08-02 03:00:00+00:00,19137.93,2214.49,6872.36,2145.98,20545.37,12812.16,5936.38,1833.77,71498.44
2025-08-01T22:00:00-05:00,2025-08-02 03:00:00+00:00,2025-08-01T23:00:00-05:00,2025-08-02 04:00:00+00:00,18244.47,2154.1,7332.32,2111.04,19257.08,12124.05,5697.9,1836.07,68757.03
2025-08-01T23:00:00-05:00,2025-08-02 04:00:00+00:00,2025-08-02T00:00:00-05:00,2025-08-02 05:00:00+00:00,17532.95,2058.51,7293.48,2179.7,18059.97,11302.01,5301.37,1769.1,65497.09
2025-08-02T00:00:00-05:00,2025-08-02 05:00:00+00:00,2025-08-02T01:00:00-05:00,2025-08-02 06:00:00+00:00,16478.04,1912.17,7088.8,2027.44,16743.61,10543.41,5028.74,1637.91,61460.11
2025-08-02T01:00:00-05:00,2025-08-02 06:00:00+00:00,2025-08-02T02:00:00-05:00,2025-08-02 07:00:00+00:00,15741.67,1820.31,7230.85,2023.78,15781.27,9907.07,4734.9,1647.69,58887.53
2025-08-02T02:00:00-05:00,2025-08-02 07:00:00+00:00,2025-08-02T03:00:00-05:00,2025-08-02 08:00:00+00:00,15235.52,1745.23,7045.63,1893.22,15032.77,9365.34,4604.14,1525.07,56446.92
2025-08-02T03:00:00-05:00,2025-08-02 08:00:00+00:00,2025-08-02T04:00:00-05:00,2025-08-02 09:00:00+00:00,14692.62,1706.68,7002.45,1817.84,14241.84,9003.94,4488.98,1549.76,54504.11
2025-08-02T04:00:00-05:00,2025-08-02 09:00:00+00:00,2025-08-02T05:00:00-05:00,2025-08-02 10:00:00+00:00,14515.27,1603.8,7092.18,1782.74,13881.32,8939.1,4359.69,1597.69,53771.79
2025-08-02T05:00:00-05:00,2025-08-02 10:00:00+00:00,2025-08-02T06:00:00-05:00,2025-08-02 11:00:00+00:00,14512.12,1634.91,6790.96,1805.43,13756.65,8674.38,4279.19,1467.88,52921.52
2025-08-02T06:00:00-05:00,2025-08-02 11:00:00+00:00,2025-08-02T07:00:00-05:00,2025-08-02 12:00:00+00:00,14266.89,1611.83,6774.93,1800.08,13743.99,8583.0,4265.54,1468.26,52514.52
2025-08-02T07:00:00-05:00,2025-08-02 12:00:00+00:00,2025-08-02T08:00:00-05:00,2025-08-02 13:00:00+00:00,14420.22,1634.81,6867.04,1906.46,14228.81,8658.82,4262.93,1552.58,53531.69
2025-08-02T08:00:00-05:00,2025-08-02 13:00:00+00:00,2025-08-02T09:00:00-05:00,2025-08-02 14:00:00+00:00,15846.99,1737.69,8311.93,2125.82,15693.88,9300.56,4721.58,1728.14,59466.59
2025-08-02T09:00:00-05:00,2025-08-02 14:00:00+00:00,2025-08-02T10:00:00-05:00,2025-08-02 15:00:00+00:00,17227.78,2136.47,9145.84,2237.9,17115.02,10435.53,5230.39,1962.64,65491.57
2025-08-02T10:00:00-05:00,2025-08-02 15:00:00+00:00,2025-08-02T11:00:00-05:00,2025-08-02 16:00:00+00:00,17832.88,2173.7,9016.09,2325.8,17922.2,11168.84,5585.13,1968.52,67993.16
2025-08-02T11:00:00-05:00,2025-08-02 16:00:00+00:00,2025-08-02T12:00:00-05:00,2025-08-02 17:00:00+00:00,18581.36,2143.66,8471.0,2309.71,18502.85,11939.74,5820.64,1932.39,69701.34
2025-08-02T12:00:00-05:00,2025-08-02 17:00:00+00:00,2025-08-02T13:00:00-05:00,2025-08-02 18:00:00+00:00,18568.52,2161.13,8420.77,2385.13,19664.48,12567.6,6049.58,1971.24,71788.45
2025-08-02T13:00:00-05:00,2025-08-02 18:00:00+00:00,2025-08-02T14:00:00-05:00,2025-08-02 19:00:00+00:00,17860.61,2072.97,8397.01,2461.76,20809.67,13257.03,6368.68,2013.66,73241.37
2025-08-02T14:00:00-05:00,2025-08-02 19:00:00+00:00,2025-08-02T15:00:00-05:00,2025-08-02 20:00:00+00:00,16979.61,2119.7,8414.43,2554.89,21786.15,13572.7,6545.04,2058.9,74031.42
2025-08-02T15:00:00-05:00,2025-08-02 20:00:00+00:00,2025-08-02T16:00:00-05:00,2025-08-02 21:00:00+00:00,16556.71,2164.89,8409.4,2624.31,22449.45,13596.95,6651.86,2014.78,74468.36
2025-08-02T16:00:00-05:00,2025-08-02 21:00:00+00:00,2025-08-02T17:00:00-05:00,2025-08-02 22:00:00+00:00,16663.87,2245.98,8459.48,2707.46,22929.89,13617.24,6761.89,2001.35,75387.16
2025-08-02T17:00:00-05:00,2025-08-02 22:00:00+00:00,2025-08-02T18:00:00-05:00,2025-08-02 23:00:00+00:00,16757.73,2262.29,8380.24,2695.14,22980.94,13162.92,6720.38,1972.56,74932.22
2025-08-02T18:00:00-05:00,2025-08-02 23:00:00+00:00,2025-08-02T19:00:00-05:00,2025-08-03 00:00:00+00:00,16701.21,2280.72,8385.48,2740.31,22664.86,12254.18,6533.18,1945.02,73504.96
2025-08-02T19:00:00-05:00,2025-08-03 00:00:00+00:00,2025-08-02T20:00:00-05:00,2025-08-03 01:00:00+00:00,16448.31,2239.76,8243.66,2615.66,21928.65,11596.76,6322.64,1898.13,71293.57
2025-08-02T20:00:00-05:00,2025-08-03 01:00:00+00:00,2025-08-02T21:00:00-05:00,2025-08-03 02:00:00+00:00,16206.16,2215.15,8081.82,2474.47,20866.04,11168.29,5978.61,1862.53,68853.06
2025-08-02T21:00:00-05:00,2025-08-03 02:00:00+00:00,2025-08-02T22:00:00-05:00,2025-08-03 03:00:00+00:00,16006.27,2102.71,8059.38,2442.19,20243.09,10942.65,5814.49,1814.34,67425.11
2025-08-02T22:00:00-05:00,2025-08-03 03:00:00+00:00,2025-08-02T23:00:00-05:00,2025-08-03 04:00:00+00:00,15458.98,2070.22,7872.85,2308.45,19048.23,10354.42,5445.48,1711.0,64269.62
2025-08-02T23:00:00-05:00,2025-08-03 04:00:00+00:00,2025-08-03T00:00:00-05:00,2025-08-03 05:00:00+00:00,14940.28,1925.44,7744.84,2154.54,17932.55,9786.51,5135.17,1653.69,61273.03
2025-08-03T00:00:00-05:00,2025-08-03 05:00:00+00:00,2025-08-03T01:00:00-05:00,2025-08-03 06:00:00+00:00,14345.05,1802.69,7606.96,2098.62,16799.2,9180.78,4865.45,1521.74,58220.5
2025-08-03T01:00:00-05:00,2025-08-03 06:00:00+00:00,2025-08-03T02:00:00-05:00,2025-08-03 07:00:00+00:00,13844.32,1695.88,7556.66,2052.37,15828.88,8654.16,4623.96,1468.74,55724.99
2025-08-03T02:00:00-05:00,2025-08-03 07:00:00+00:00,2025-08-03T03:00:00-05:00,2025-08-03 08:00:00+00:00,13385.66,1589.61,7552.81,1957.54,15040.23,8268.26,4443.04,1432.15,53669.31
2025-08-03T03:00:00-05:00,2025-08-03 08:00:00+00:00,2025-08-03T04:00:00-05:00,2025-08-03 09:00:00+00:00,13079.04,1531.69,7665.59,1929.94,14510.87,8000.12,4482.02,1419.95,52619.22
2025-08-03T04:00:00-05:00,2025-08-03 09:00:00+00:00,2025-08-03T05:00:00-05:00,2025-08-03 10:00:00+00:00,12928.92,1555.8,7694.36,1900.91,14166.22,7834.42,4178.12,1409.13,51667.89
2025-08-03T05:00:00-05:00,2025-08-03 10:00:00+00:00,2025-08-03T06:00:00-05:00,2025-08-03 11:00:00+00:00,13077.41,1572.27,7573.9,1811.35,13963.42,7710.78,4158.5,1367.71,51235.34
2025-08-03T06:00:00-05:00,2025-08-03 11:00:00+00:00,2025-08-03T07:00:00-05:00,2025-08-03 12:00:00+00:00,13004.99,1571.96,7529.42,1874.25,13850.28,7657.85,4144.09,1357.76,50990.6
2025-08-03T07:00:00-05:00,2025-08-03 12:00:00+00:00,2025-08-03T08:00:00-05:00,2025-08-03 13:00:00+00:00,13095.42,1576.39,7669.91,1852.0,14021.09,7788.68,4289.44,1416.25,51709.18
2025-08-03T08:00:00-05:00,2025-08-03 13:00:00+00:00,2025-08-03T09:00:00-05:00,2025-08-03 14:00:00+00:00,14724.09,1815.32,8094.93,1993.71,15768.71,8501.07,4791.53,1589.72,57279.08
2025-08-03T09:00:00-05:00,2025-08-03 14:00:00+00:00,2025-08-03T10:00:00-05:00,2025-08-03 15:00:00+00:00,15677.31,1909.74,8248.79,2056.19,16808.92,9602.92,5069.56,1823.03,61196.46
2025-08-03T10:00:00-05:00,2025-08-03 15:00:00+00:00,2025-08-03T11:00:00-05:00,2025-08-03 16:00:00+00:00,16465.94,2060.81,8297.87,2218.1,18126.38,10276.58,5264.84,1851.43,64561.95
2025-08-03T11:00:00-05:00,2025-08-03 16:00:00+00:00,2025-08-03T12:00:00-05:00,2025-08-03 17:00:00+00:00,17580.41,2182.49,8337.73,2155.57,19539.08,11039.2,5520.4,1824.95,68179.83
2025-08-03T12:00:00-05:00,2025-08-03 17:00:00+00:00,2025-08-03T13:00:00-05:00,2025-08-03 18:00:00+00:00,18578.25,2263.46,8412.37,2218.5,20703.85,11827.92,5912.75,1802.64,71719.73
2025-08-03T13:00:00-05:00,2025-08-03 18:00:00+00:00,2025-08-03T14:00:00-05:00,2025-08-03 19:00:00+00:00,19487.05,2232.02,8379.27,2229.23,20814.17,12631.48,6195.82,1839.69,73808.72
2025-08-03T14:00:00-05:00,2025-08-03 19:00:00+00:00,2025-08-03T15:00:00-05:00,2025-08-03 20:00:00+00:00,20173.39,2485.95,8227.59,2283.76,19249.67,13309.08,6446.82,1887.02,74063.3
2025-08-03T15:00:00-05:00,2025-08-03 20:00:00+00:00,2025-08-03T16:00:00-05:00,2025-08-03 21:00:00+00:00,20569.51,2535.55,8146.09,2450.78,19121.64,13868.92,6620.59,1990.04,75303.11
2025-08-03T16:00:00-05:00,2025-08-03 21:00:00+00:00,2025-08-03T17:00:00-05:00,2025-08-03 22:00:00+00:00,20577.02,2508.05,8079.49,2527.04,19931.9,14299.54,6723.35,2090.11,76736.51
