interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coast,east,far_west,north,north_central,south_central,southern,west,system_total
2025-02-01T00:00:00-06:00,2025-02-01 06:00:00+00:00,2025-02-01T01:00:00-06:00,2025-02-01 07:00:00+00:00,10943.2,1557.68,6795.45,1726.67,12188.17,6894.58,3195.94,1376.23,44677.93
2025-02-01T01:00:00-06:00,2025-02-01 07:00:00+00:00,2025-02-01T02:00:00-06:00,2025-02-01 08:00:00+00:00,10813.42,1617.38,6777.3,1715.12,12299.88,6849.2,3197.85,1319.86,44590.01
2025-02-01T02:00:00-06:00,2025-02-01 08:00:00+00:00,2025-02-01T03:00:00-06:00,2025-02-01 09:00:00+00:00,10704.53,1616.15,6826.53,1641.73,12172.44,6852.49,3076.22,1339.61,44229.71
2025-02-01T03:00:00-06:00,2025-02-01 09:00:00+00:00,2025-02-01T04:00:00-06:00,2025-02-01 10:00:00+00:00,10774.62,1616.01,6965.04,1646.75,12287.95,6980.64,3091.26,1304.4,44666.65
2025-02-01T04:00:00-06:00,2025-02-01 10:00:00+00:00,2025-02-01T05:00:00-06:00,2025-02-01 11:00:00+00:00,10851.14,1587.65,7147.93,1688.26,12771.33,7176.58,3034.36,1354.47,45611.73
2025-02-01T05:00:00-06:00,2025-02-01 11:00:00+00:00,2025-02-01T06:00:00-06:00,2025-02-01 12:00:00+00:00,11017.54,1676.55,7293.64,1753.54,13219.64,7439.12,3197.55,1380.73,46978.31
2025-02-01T06:00:00-06:00,2025-02-01 12:00:00+00:00,2025-02-01T07:00:00-06:00,2025-02-01 13:00:00+00:00,11414.62,1797.77,7243.06,1815.37,13979.43,7920.59,3371.46,1423.76,48966.05
2025-02-01T07:00:00-06:00,2025-02-01 13:00:00+00:00,2025-02-01T08:00:00-06:00,2025-02-01 14:00:00+00:00,11781.96,1912.92,7308.69,1881.74,14734.87,8393.86,3484.66,1429.73,50928.43
2025-02-01T08:00:00-06:00,2025-02-01 14:00:00+00:00,2025-02-01T09:00:00-06:00,2025-02-01 15:00:00+00:00,11937.2,1870.51,7430.26,1897.42,14902.55,8559.47,3601.69,1448.48,51647.6
2025-02-01T09:00:00-06:00,2025-02-01 15:00:00+00:00,2025-02-01T10:00:00-06:00,2025-02-01 16:00:00+00:00,11812.09,1630.54,7593.86,1777.46,14373.83,7999.6,3647.13,1416.13,50250.64
2025-02-01T10:00:00-06:00,2025-02-01 16:00:00+00:00,2025-02-01T11:00:00-06:00,2025-02-01 17:00:00+00:00,11741.3,1552.6,7748.7,1720.29,13813.63,7478.1,3482.6,1337.62,48874.82
2025-02-01T11:00:00-06:00,2025-02-01 17:00:00+00:00,2025-02-01T12:00:00-06:00,2025-02-01 18:00:00+00:00,11602.45,1418.34,8030.83,1645.71,13092.92,7197.96,3535.92,1247.12,47771.24
2025-02-01T12:00:00-06:00,2025-02-01 18:00:00+00:00,2025-02-01T13:00:00-06:00,2025-02-01 19:00:00+00:00,11724.23,1320.64,7718.42,1592.32,12915.41,6749.96,3357.68,1187.37,46566.03
2025-02-01T13:00:00-06:00,2025-02-01 19:00:00+00:00,2025-02-01T14:00:00-06:00,2025-02-01 20:00:00+00:00,11727.19,1292.97,7736.57,1602.95,12679.07,6651.6,3479.68,1272.75,46442.78
2025-02-01T14:00:00-06:00,2025-02-01 20:00:00+00:00,2025-02-01T15:00:00-06:00,2025-02-01 21:00:00+00:00,11580.51,1211.76,7762.66,1533.36,12284.72,6668.65,3595.71,1412.84,46050.22
2025-02-01T15:00:00-06:00,2025-02-01 21:00:00+00:00,2025-02-01T16:00:00-06:00,2025-02-01 22:00:00+00:00,11514.42,1218.63,7605.15,1536.55,12208.69,6756.9,3641.29,1346.37,45828.0
2025-02-01T16:00:00-06:00,2025-02-01 22:00:00+00:00,2025-02-01T17:00:00-06:00,2025-02-01 23:00:00+00:00,11383.91,1295.53,7556.55,1562.14,12202.65,6944.02,3438.59,1145.01,45528.39
2025-02-01T17:00:00-06:00,2025-02-01 23:00:00+00:00,2025-02-01T18:00:00-06:00,2025-02-02 00:00:00+00:00,11377.21,1369.48,7360.17,1576.17,12229.04,7145.34,3352.3,1028.67,45438.38
2025-02-01T18:00:00-06:00,2025-02-02 00:00:00+00:00,2025-02-01T19:00:00-06:00,2025-02-02 01:00:00+00:00,11561.99,1457.93,7276.88,1573.88,12726.22,7358.83,3314.66,1025.87,46296.26
2025-02-01T19:00:00-06:00,2025-02-02 01:00:00+00:00,2025-02-01T20:00:00-06:00,2025-02-02 02:00:00+00:00,11511.43,1451.61,7388.85,1557.53,12754.88,7354.48,3342.79,1137.98,46499.56
2025-02-01T20:00:00-06:00,2025-02-02 02:00:00+00:00,2025-02-01T21:00:00-06:00,2025-02-02 03:00:00+00:00,11350.59,1443.4,7390.07,1547.86,12591.66,7196.47,3256.95,1043.77,45820.77
2025-02-01T21:00:00-06:00,2025-02-02 03:00:00+00:00,2025-02-01T22:00:00-06:00,2025-02-02 04:00:00+00:00,11165.32,1452.16,7385.26,1538.17,12449.07,7074.81,3195.6,1040.54,45300.92
2025-02-01T22:00:00-06:00,2025-02-02 04:00:00+00:00,2025-02-01T23:00:00-06:00,2025-02-02 05:00:00+00:00,10947.17,1417.58,7411.22,1520.16,12147.01,6890.84,3132.82,1034.79,44501.57
2025-02-01T23:00:00-06:00,2025-02-02 05:00:00+00:00,2025-02-02T00:00:00-06:00,2025-02-02 06:00:00+00:00,10652.47,1378.77,7465.32,1500.0,11738.16,6636.52,3240.64,1027.22,43639.1
2025-02-02T00:00:00-06:00,2025-02-02 06:00:00+00:00,2025-02-02T01:00:00-06:00,2025-02-02 07:00:00+00:00,10427.79,1393.68,7484.95,1507.77,11436.01,6434.18,3097.6,1160.73,42942.71
2025-02-02T01:00:00-06:00,2025-02-02 07:00:00+00:00,2025-02-02T02:00:00-06:00,2025-02-02 08:00:00+00:00,10311.45,1430.63,7431.04,1567.48,11198.67,6499.25,3081.24,1047.72,42567.48
2025-02-02T02:00:00-06:00,2025-02-02 08:00:00+00:00,2025-02-02T03:00:00-06:00,2025-02-02 09:00:00+00:00,10329.94,1426.14,7377.84,1450.19,11090.63,6286.4,3098.93,1091.25,42151.32
2025-02-02T03:00:00-06:00,2025-02-02 09:00:00+00:00,2025-02-02T04:00:00-06:00,2025-02-02 10:00:00+00:00,10296.72,1402.4,7098.42,1491.69,11104.31,6333.66,3018.02,1051.87,41797.08
2025-02-02T04:00:00-06:00,2025-02-02 10:00:00+00:00,2025-02-02T05:00:00-06:00,2025-02-02 11:00:00+00:00,10245.5,1403.27,7045.39,1452.8,11199.87,6442.98,2953.67,1055.55,41799.03
2025-02-02T05:00:00-06:00,2025-02-02 11:00:00+00:00,2025-02-02T06:00:00-06:00,2025-02-02 12:00:00+00:00,10398.23,1455.49,6987.32,1574.13,11577.04,6648.36,3009.5,1155.49,42805.57
2025-02-02T06:00:00-06:00,2025-02-02 12:00:00+00:00,2025-02-02T07:00:00-06:00,2025-02-02 13:00:00+00:00,10682.86,1552.13,7122.26,1505.13,11956.86,6943.51,3026.11,1133.67,43922.53
2025-02-02T07:00:00-06:00,2025-02-02 13:00:00+00:00,2025-02-02T08:00:00-06:00,2025-02-02 14:00:00+00:00,10859.35,1557.92,7088.52,1532.75,12557.97,7274.11,3143.82,1280.5,45294.94
2025-02-02T08:00:00-06:00,2025-02-02 14:00:00+00:00,2025-02-02T09:00:00-06:00,2025-02-02 15:00:00+00:00,11168.7,1588.91,7635.25,1594.83,12835.34,7531.53,3495.49,1309.85,47159.91
2025-02-02T09:00:00-06:00,2025-02-02 15:00:00+00:00,2025-02-02T10:00:00-06:00,2025-02-02 16:00:00+00:00,11298.4,1513.91,8082.08,1676.89,12914.44,7245.77,3549.41,1323.84,47604.76
2025-02-02T10:00:00-06:00,2025-02-02 16:00:00+00:00,2025-02-02T11:00:00-06:00,2025-02-02 17:00:00+00:00,11228.34,1328.5,8069.77,1580.54,12297.52,7056.27,3372.23,1207.01,46140.18
2025-02-02T11:00:00-06:00,2025-02-02 17:00:00+00:00,2025-02-02T12:00:00-06:00,2025-02-02 18:00:00+00:00,11346.38,1284.91,7791.97,1512.88,12004.8,6619.86,3337.42,1132.2,45030.41
2025-02-02T12:00:00-06:00,2025-02-02 18:00:00+00:00,2025-02-02T13:00:00-06:00,2025-02-02 19:00:00+00:00,11216.71,1212.87,7523.41,1512.55,11736.97,6512.16,3357.87,1119.01,44191.56
2025-02-02T13:00:00-06:00,2025-02-02 19:00:00+00:00,2025-02-02T14:00:00-06:00,2025-02-02 20:00:00+00:00,11422.68,1233.92,7542.2,1472.66,11801.43,6616.71,3492.06,1128.99,44710.65
2025-02-02T14:00:00-06:00,2025-02-02 20:00:00+00:00,2025-02-02T15:00:00-06:00,2025-02-02 21:00:00+00:00,11787.71,1246.73,7489.23,1466.69,12036.85,6742.48,3714.68,1156.31,45640.66
2025-02-02T15:00:00-06:00,2025-02-02 21:00:00+00:00,2025-02-02T16:00:00-06:00,2025-02-02 22:00:00+00:00,11997.49,1215.49,7664.88,1508.23,12218.7,6958.45,3727.64,1175.16,46466.04
2025-02-02T16:00:00-06:00,2025-02-02 22:00:00+00:00,2025-02-02T17:00:00-06:00,2025-02-02 23:00:00+00:00,12006.03,1321.63,7435.46,1497.41,12342.21,7291.19,3825.3,1160.8,46880.04
2025-02-02T17:00:00-06:00,2025-02-02 23:00:00+00:00,2025-02-02T18:00:00-06:00,2025-02-03 00:00:00+00:00,12019.99,1403.46,7392.81,1504.36,12412.54,7548.06,3649.04,1014.12,46944.37
2025-02-02T18:00:00-06:00,2025-02-03 00:00:00+00:00,2025-02-02T19:00:00-06:00,2025-02-03 01:00:00+00:00,12288.42,1447.48,7463.31,1555.74,12981.34,7833.02,3730.24,1022.55,48322.1
2025-02-02T19:00:00-06:00,2025-02-03 01:00:00+00:00,2025-02-02T20:00:00-06:00,2025-02-03 02:00:00+00:00,12286.3,1503.56,7316.87,1571.06,13188.26,7855.11,3831.38,1076.42,48628.95
2025-02-02T20:00:00-06:00,2025-02-03 02:00:00+00:00,2025-02-02T21:00:00-06:00,2025-02-03 03:00:00+00:00,12100.7,1482.08,7534.7,1584.83,13047.66,7650.1,3764.0,1058.75,48222.82
2025-02-02T21:00:00-06:00,2025-02-03 03:00:00+00:00,2025-02-02T22:00:00-06:00,2025-02-03 04:00:00+00:00,11811.61,1438.56,7473.51,1501.08,12546.99,7350.08,3655.36,1021.93,46799.13
