interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coast,east,far_west,north,north_central,south_central,southern,west,system_total
2025-10-01T00:00:00-05:00,2025-10-01 05:00:00+00:00,2025-10-01T01:00:00-05:00,2025-10-01 06:00:00+00:00,13399.99,1736.83,7651.29,1845.63,13491.29,8181.93,4218.4,1256.77,51782.13
2025-10-01T01:00:00-05:00,2025-10-01 06:00:00+00:00,2025-10-01T02:00:00-05:00,2025-10-01 07:00:00+00:00,12808.29,1556.58,7769.36,1890.4,12578.66,7629.9,3987.59,1242.79,49463.56
2025-10-01T02:00:00-05:00,2025-10-01 07:00:00+00:00,2025-10-01T03:00:00-05:00,2025-10-01 08:00:00+00:00,12396.68,1454.9,7749.65,1773.79,12026.78,7315.38,3861.87,1164.23,47743.28
2025-10-01T03:00:00-05:00,2025-10-01 08:00:00+00:00,2025-10-01T04:00:00-05:00,2025-10-01 09:00:00+00:00,12158.51,1437.5,7717.44,1862.44,11679.54,7248.0,3626.07,1198.21,46927.7
2025-10-01T04:00:00-05:00,2025-10-01 09:00:00+00:00,2025-10-01T05:00:00-05:00,2025-10-01 10:00:00+00:00,12432.65,1423.04,7710.63,1854.14,11642.51,7293.2,3595.79,1290.15,47242.1
2025-10-01T05:00:00-05:00,2025-10-01 10:00:00+00:00,2025-10-01T06:00:00-05:00,2025-10-01 11:00:00+00:00,12431.83,1470.25,7572.65,1880.9,11978.08,7311.86,3701.26,1165.1,47511.93
2025-10-01T06:00:00-05:00,2025-10-01 11:00:00+00:00,2025-10-01T07:00:00-05:00,2025-10-01 12:00:00+00:00,12859.56,1580.81,7556.32,1990.9,12874.28,7570.92,3824.24,1188.38,49445.41
2025-10-01T07:00:00-05:00,2025-10-01 12:00:00+00:00,2025-10-01T08:00:00-05:00,2025-10-01 13:00:00+00:00,12930.28,1605.41,7558.4,2009.94,13194.08,7746.54,3832.65,1236.93,50114.24
2025-10-01T08:00:00-05:00,2025-10-01 13:00:00+00:00,2025-10-01T09:00:00-05:00,2025-10-01 14:00:00+00:00,13833.36,1599.96,7777.7,1897.42,14003.14,7960.73,4180.33,1379.18,52631.81
2025-10-01T09:00:00-05:00,2025-10-01 14:00:00+00:00,2025-10-01T10:00:00-05:00,2025-10-01 15:00:00+00:00,15261.8,1775.66,8923.67,1946.49,15262.89,8826.29,4705.99,1509.85,58212.64
2025-10-01T10:00:00-05:00,2025-10-01 15:00:00+00:00,2025-10-01T11:00:00-05:00,2025-10-01 16:00:00+00:00,15689.34,1928.89,8654.81,2116.03,16194.18,9617.0,4869.23,1515.9,60585.39
2025-10-01T11:00:00-05:00,2025-10-01 16:00:00+00:00,2025-10-01T12:00:00-05:00,2025-10-01 17:00:00+00:00,16689.71,1925.27,8381.72,2189.28,17161.87,10037.75,4794.0,1537.5,62717.11
2025-10-01T12:00:00-05:00,2025-10-01 17:00:00+00:00,2025-10-01T13:00:00-05:00,2025-10-01 18:00:00+00:00,17621.85,2141.16,8304.53,2282.48,18092.08,10574.67,5238.56,1625.51,65880.84
2025-10-01T13:00:00-05:00,2025-10-01 18:00:00+00:00,2025-10-01T14:00:00-05:00,2025-10-01 19:00:00+00:00,18744.13,2300.29,8394.44,2487.53,19465.16,11342.03,5592.25,1737.98,70063.82
2025-10-01T14:00:00-05:00,2025-10-01 19:00:00+00:00,2025-10-01T15:00:00-05:00,2025-10-01 20:00:00+00:00,19096.15,2475.62,8362.41,2573.09,20407.57,12136.36,5834.52,1831.4,72717.12
2025-10-01T15:00:00-05:00,2025-10-01 20:00:00+00:00,2025-10-01T16:00:00-05:00,2025-10-01 21:00:00+00:00,19492.34,2410.8,8456.36,2610.51,21189.91,12612.24,5954.54,1900.64,74627.34
2025-10-01T16:00:00-05:00,2025-10-01 21:00:00+00:00,2025-10-01T17:00:00-05:00,2025-10-01 22:00:00+00:00,19603.12,2518.97,8578.51,2681.13,21807.19,13026.62,6100.9,1954.61,76271.05
2025-10-01T17:00:00-05:00,2025-10-01 22:00:00+00:00,2025-10-01T18:00:00-05:00,2025-10-01 23:00:00+00:00,19224.83,2397.99,8495.31,2651.56,21667.94,13184.72,6040.91,1916.25,75579.51
2025-10-01T18:00:00-05:00,2025-10-01 23:00:00+00:00,2025-10-01T19:00:00-05:00,2025-10-02 00:00:00+00:00,18361.34,2387.95,8172.83,2580.41,20759.4,12923.66,5830.01,1871.83,72887.43
2025-10-01T19:00:00-05:00,2025-10-02 00:00:00+00:00,2025-10-01T20:00:00-05:00,2025-10-02 01:00:00+00:00,17796.96,2305.59,7563.33,2552.72,19779.25,12347.09,5565.98,1830.4,69741.31
2025-10-01T20:00:00-05:00,2025-10-02 01:00:00+00:00,2025-10-01T21:00:00-05:00,2025-10-02 02:00:00+00:00,17263.13,2184.64,7684.56,2629.53,18902.94,11780.66,5400.15,1820.95,67666.55
2025-10-01T21:00:00-05:00,2025-10-02 02:00:00+00:00,2025-10-01T22:00:00-05:00,2025-10-02 03:00:00+00:00,16588.79,2042.18,7677.21,2372.78,17735.82,10984.98,5106.48,1590.51,64098.75
2025-10-01T22:00:00-05:00,2025-10-02 03:00:00+00:00,2025-10-01T23:00:00-05:00,2025-10-02 04:00:00+00:00,15692.27,1863.21,7575.37,2183.78,16508.58,10126.53,4770.44,1486.74,60206.93
2025-10-01T23:00:00-05:00,2025-10-02 04:00:00+00:00,2025-10-02T00:00:00-05:00,2025-10-02 05:00:00+00:00,14710.52,1734.62,7606.32,1983.52,15042.21,9283.25,4513.32,1410.86,56284.62
