interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coast,east,far_west,north,north_central,south_central,southern,west,system_total
2025-01-01T00:00:00-06:00,2025-01-01 06:00:00+00:00,2025-01-01T01:00:00-06:00,2025-01-01 07:00:00+00:00,10238.69,1634.45,7645.03,1605.73,12202.98,6384.71,3293.52,1101.77,44106.88
2025-01-01T01:00:00-06:00,2025-01-01 07:00:00+00:00,2025-01-01T02:00:00-06:00,2025-01-01 08:00:00+00:00,10121.1,1600.29,7593.9,1624.66,12120.37,6436.58,3259.8,1059.43,43816.13
2025-01-01T02:00:00-06:00,2025-01-01 08:00:00+00:00,2025-01-01T03:00:00-06:00,2025-01-01 09:00:00+00:00,10140.17,1576.62,7581.0,1616.56,11994.06,6466.56,3200.95,1058.03,43633.94
2025-01-01T03:00:00-06:00,2025-01-01 09:00:00+00:00,2025-01-01T04:00:00-06:00,2025-01-01 10:00:00+00:00,10171.89,1598.36,7403.48,1660.17,12178.42,6425.03,2985.95,1097.81,43521.12
2025-01-01T04:00:00-06:00,2025-01-01 10:00:00+00:00,2025-01-01T05:00:00-06:00,2025-01-01 11:00:00+00:00,9992.42,1628.75,7358.83,1640.86,12308.32,6385.58,2964.56,1114.53,43393.86
2025-01-01T05:00:00-06:00,2025-01-01 11:00:00+00:00,2025-01-01T06:00:00-06:00,2025-01-01 12:00:00+00:00,10072.23,1695.39,7339.75,1695.36,12709.74,6589.02,2955.07,1204.02,44260.58
2025-01-01T06:00:00-06:00,2025-01-01 12:00:00+00:00,2025-01-01T07:00:00-06:00,2025-01-01 13:00:00+00:00,10257.41,1780.77,7348.27,1739.49,13103.63,6798.07,3105.67,1205.21,45338.53
2025-01-01T07:00:00-06:00,2025-01-01 13:00:00+00:00,2025-01-01T08:00:00-06:00,2025-01-01 14:00:00+00:00,10321.86,1854.42,7451.41,1791.64,13520.77,7030.9,3106.5,1220.66,46298.16
2025-01-01T08:00:00-06:00,2025-01-01 14:00:00+00:00,2025-01-01T09:00:00-06:00,2025-01-01 15:00:00+00:00,10444.65,1795.79,7542.07,1812.82,13741.61,7121.45,3092.21,1264.34,46814.93
2025-01-01T09:00:00-06:00,2025-01-01 15:00:00+00:00,2025-01-01T10:00:00-06:00,2025-01-01 16:00:00+00:00,10784.72,1724.18,7515.47,1845.55,13660.97,7096.89,3245.46,1252.47,47125.7
2025-01-01T10:00:00-06:00,2025-01-01 16:00:00+00:00,2025-01-01T11:00:00-06:00,2025-01-01 17:00:00+00:00,11014.88,1714.35,7477.81,1852.13,13610.96,6992.54,3326.33,1291.87,47280.87
2025-01-01T11:00:00-06:00,2025-01-01 17:00:00+00:00,2025-01-01T12:00:00-06:00,2025-01-01 18:00:00+00:00,10887.81,1580.32,7516.28,1918.43,13038.97,6773.12,3525.33,1313.1,46553.36
2025-01-01T12:00:00-06:00,2025-01-01 18:00:00+00:00,2025-01-01T13:00:00-06:00,2025-01-01 19:00:00+00:00,10853.55,1441.91,7399.26,1709.94,12654.43,6527.63,3552.62,1234.94,45374.28
2025-01-01T13:00:00-06:00,2025-01-01 19:00:00+00:00,2025-01-01T14:00:00-06:00,2025-01-01 20:00:00+00:00,10843.54,1396.02,7468.88,1660.33,12351.75,6447.38,3566.35,1206.83,44941.08
2025-01-01T14:00:00-06:00,2025-01-01 20:00:00+00:00,2025-01-01T15:00:00-06:00,2025-01-01 21:00:00+00:00,10957.9,1335.49,7368.79,1652.62,12319.74,6403.92,3509.89,1153.02,44701.39
2025-01-01T15:00:00-06:00,2025-01-01 21:00:00+00:00,2025-01-01T16:00:00-06:00,2025-01-01 22:00:00+00:00,10888.86,1327.23,7372.75,1638.65,11894.34,6449.67,3527.92,1112.22,44211.63
2025-01-01T16:00:00-06:00,2025-01-01 22:00:00+00:00,2025-01-01T17:00:00-06:00,2025-01-01 23:00:00+00:00,10889.66,1439.55,7359.17,1627.38,12042.81,6631.51,3503.13,1099.31,44592.52
2025-01-01T17:00:00-06:00,2025-01-01 23:00:00+00:00,2025-01-01T18:00:00-06:00,2025-01-02 00:00:00+00:00,11184.48,1614.35,7274.46,1703.96,12825.87,7066.26,3563.22,1231.09,46463.69
2025-01-01T18:00:00-06:00,2025-01-02 00:00:00+00:00,2025-01-01T19:00:00-06:00,2025-01-02 01:00:00+00:00,11469.93,1714.96,6902.36,1695.31,13558.97,7503.83,3615.66,1283.42,47744.44
2025-01-01T19:00:00-06:00,2025-01-02 01:00:00+00:00,2025-01-01T20:00:00-06:00,2025-01-02 02:00:00+00:00,11437.95,1712.11,6803.47,1703.58,13754.94,7540.32,3546.02,1291.07,47789.46
2025-01-01T20:00:00-06:00,2025-01-02 02:00:00+00:00,2025-01-01T21:00:00-06:00,2025-01-02 03:00:00+00:00,11385.46,1765.79,7288.21,1798.42,14120.46,7574.0,3501.52,1299.05,48732.89
2025-01-01T21:00:00-06:00,2025-01-02 03:00:00+00:00,2025-01-01T22:00:00-06:00,2025-01-02 04:00:00+00:00,11274.01,1752.64,7621.22,1949.34,13923.08,7421.1,3502.74,1259.97,48704.1
2025-01-01T22:00:00-06:00,2025-01-02 04:00:00+00:00,2025-01-01T23:00:00-06:00,2025-01-02 05:00:00+00:00,10928.24,1665.16,7434.12,1805.16,13543.38,7126.21,3379.08,1259.33,47140.68
2025-01-01T23:00:00-06:00,2025-01-02 05:00:00+00:00,2025-01-02T00:00:00-06:00,2025-01-02 06:00:00+00:00,10681.32,1672.35,7552.61,1784.08,13330.22,6869.78,3275.73,1207.56,46373.65
2025-01-02T00:00:00-06:00,2025-01-02 06:00:00+00:00,2025-01-02T01:00:00-06:00,2025-01-02 07:00:00+00:00,10283.68,1692.73,7530.66,1754.12,13117.89,6663.14,3418.15,1119.68,45580.05
2025-01-02T01:00:00-06:00,2025-01-02 07:00:00+00:00,2025-01-02T02:00:00-06:00,2025-01-02 08:00:00+00:00,10079.86,1730.5,7711.01,1768.99,13177.68,6685.19,3172.08,1062.66,45387.98
2025-01-02T02:00:00-06:00,2025-01-02 08:00:00+00:00,2025-01-02T03:00:00-06:00,2025-01-02 09:00:00+00:00,10083.31,1721.38,7762.71,1753.37,13309.83,6595.08,3054.43,1122.15,45402.27
2025-01-02T03:00:00-06:00,2025-01-02 09:00:00+00:00,2025-01-02T04:00:00-06:00,2025-01-02 10:00:00+00:00,10056.13,1725.56,7679.63,1754.44,13503.07,6588.21,2904.01,1159.8,45370.85
2025-01-02T04:00:00-06:00,2025-01-02 10:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,10163.99,1767.15,7600.76,1748.06,13868.25,6644.42,2896.31,1145.12,45834.07
2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,2025-01-02T06:00:00-06:00,2025-01-02 12:00:00+00:00,10554.31,1851.63,7593.41,1806.07,14605.36,6878.77,2913.44,1192.62,47395.62
2025-01-02T06:00:00-06:00,2025-01-02 12:00:00+00:00,2025-01-02T07:00:00-06:00,2025-01-02 13:00:00+00:00,11074.79,1995.54,7591.98,1861.78,15647.97,7208.59,3008.93,1244.51,49634.07
2025-01-02T07:00:00-06:00,2025-01-02 13:00:00+00:00,2025-01-02T08:00:00-06:00,2025-01-02 14:00:00+00:00,11461.64,2089.0,7620.69,1905.38,16420.28,7548.77,3165.04,1316.67,51527.47
2025-01-02T08:00:00-06:00,2025-01-02 14:00:00+00:00,2025-01-02T09:00:00-06:00,2025-01-02 15:00:00+00:00,11782.74,2017.24,7780.91,1929.66,16451.57,7708.27,3274.03,1290.17,52234.59
2025-01-02T09:00:00-06:00,2025-01-02 15:00:00+00:00,2025-01-02T10:00:00-06:00,2025-01-02 16:00:00+00:00,11992.46,1824.78,7634.84,2106.24,15845.86,7880.0,3213.44,1304.59,51802.22
2025-01-02T10:00:00-06:00,2025-01-02 16:00:00+00:00,2025-01-02T11:00:00-06:00,2025-01-02 17:00:00+00:00,12191.69,1673.09,7943.66,1834.23,15041.63,7891.71,3362.16,1276.11,51214.27
2025-01-02T11:00:00-06:00,2025-01-02 17:00:00+00:00,2025-01-02T12:00:00-06:00,2025-01-02 18:00:00+00:00,12210.46,1577.7,7743.17,1720.31,14211.01,7632.84,3437.89,1229.06,49762.45
2025-01-02T12:00:00-06:00,2025-01-02 18:00:00+00:00,2025-01-02T13:00:00-06:00,2025-01-02 19:00:00+00:00,12181.05,1489.47,7481.04,1680.09,13648.5,7520.92,3400.43,1337.92,48739.43
2025-01-02T13:00:00-06:00,2025-01-02 19:00:00+00:00,2025-01-02T14:00:00-06:00,2025-01-02 20:00:00+00:00,12249.44,1500.54,7404.29,1664.41,13209.19,7415.68,3588.43,1368.21,48400.21
2025-01-02T14:00:00-06:00,2025-01-02 20:00:00+00:00,2025-01-02T15:00:00-06:00,2025-01-02 21:00:00+00:00,12321.63,1480.88,7564.57,1688.28,12914.58,7337.4,3802.32,1274.84,48384.5
2025-01-02T15:00:00-06:00,2025-01-02 21:00:00+00:00,2025-01-02T16:00:00-06:00,2025-01-02 22:00:00+00:00,12137.14,1495.04,7499.12,1691.62,12919.18,7306.47,3969.23,1223.67,48241.47
2025-01-02T16:00:00-06:00,2025-01-02 22:00:00+00:00,2025-01-02T17:00:00-06:00,2025-01-02 23:00:00+00:00,11974.37,1526.42,7429.94,1634.71,12766.32,7369.17,3870.93,1256.45,47828.3
2025-01-02T17:00:00-06:00,2025-01-02 23:00:00+00:00,2025-01-02T18:00:00-06:00,2025-01-03 00:00:00+00:00,12222.34,1666.33,7345.98,1683.49,13319.28,7538.67,3703.42,1241.19,48720.7
2025-01-02T18:00:00-06:00,2025-01-03 00:00:00+00:00,2025-01-02T19:00:00-06:00,2025-01-03 01:00:00+00:00,12308.21,1632.14,7207.18,1693.46,14039.16,7820.06,3699.21,1301.51,49700.92
2025-01-02T19:00:00-06:00,2025-01-03 01:00:00+00:00,2025-01-02T20:00:00-06:00,2025-01-03 02:00:00+00:00,12184.94,1649.12,7141.8,1677.58,14055.28,7740.4,3686.84,1242.0,49377.96
2025-01-02T20:00:00-06:00,2025-01-03 02:00:00+00:00,2025-01-02T21:00:00-06:00,2025-01-03 03:00:00+00:00,11957.26,1694.71,7416.4,1746.58,13992.31,7592.99,3613.78,1279.01,49293.04
2025-01-02T21:00:00-06:00,2025-01-03 03:00:00+00:00,2025-01-02T22:00:00-06:00,2025-01-03 04:00:00+00:00,11658.16,1639.16,7569.05,1702.18,13704.61,7405.36,3537.85,1264.41,48480.78
2025-01-02T22:00:00-06:00,2025-01-03 04:00:00+00:00,2025-01-02T23:00:00-06:00,2025-01-03 05:00:00+00:00,11215.03,1575.13,7672.81,1642.65,13264.58,7008.27,3569.3,1224.38,47172.15
2025-01-02T23:00:00-06:00,2025-01-03 05:00:00+00:00,2025-01-03T00:00:00-06:00,2025-01-03 06:00:00+00:00,10870.98,1562.9,7728.93,1626.22,12966.46,6621.8,3422.42,1211.83,46011.54
2025-01-03T00:00:00-06:00,2025-01-03 06:00:00+00:00,2025-01-03T01:00:00-06:00,2025-01-03 07:00:00+00:00,10508.43,1457.94,7917.08,1626.64,12468.39,6343.65,3375.84,1204.17,44902.15
2025-01-03T01:00:00-06:00,2025-01-03 07:00:00+00:00,2025-01-03T02:00:00-06:00,2025-01-03 08:00:00+00:00,10536.03,1514.29,7911.82,1643.93,12077.95,6093.14,3336.84,1320.77,44434.76
2025-01-03T02:00:00-06:00,2025-01-03 08:00:00+00:00,2025-01-03T03:00:00-06:00,2025-01-03 09:00:00+00:00,10517.33,1547.65,7832.98,1631.55,12037.57,6040.0,3347.33,1265.69,44220.1
2025-01-03T03:00:00-06:00,2025-01-03 09:00:00+00:00,2025-01-03T04:00:00-06:00,2025-01-03 10:00:00+00:00,10182.68,1587.2,7842.07,1661.51,11992.72,5997.45,3029.85,1177.82,43471.31
2025-01-03T04:00:00-06:00,2025-01-03 10:00:00+00:00,2025-01-03T05:00:00-06:00,2025-01-03 11:00:00+00:00,10125.7,1487.72,7660.15,1655.44,12246.81,6181.35,3062.83,1173.7,43593.69
2025-01-03T05:00:00-06:00,2025-01-03 11:00:00+00:00,2025-01-03T06:00:00-06:00,2025-01-03 12:00:00+00:00,10432.46,1532.28,7653.15,1701.38,12887.96,6389.73,3134.62,1198.22,44929.8
2025-01-03T06:00:00-06:00,2025-01-03 12:00:00+00:00,2025-01-03T07:00:00-06:00,2025-01-03 13:00:00+00:00,10904.25,1626.91,7689.74,1784.71,13833.98,6690.32,3223.46,1288.74,47042.11
2025-01-03T07:00:00-06:00,2025-01-03 13:00:00+00:00,2025-01-03T08:00:00-06:00,2025-01-03 14:00:00+00:00,11201.52,1692.1,7734.51,1859.47,14478.52,7020.17,3317.24,1378.73,48682.25
2025-01-03T08:00:00-06:00,2025-01-03 14:00:00+00:00,2025-01-03T09:00:00-06:00,2025-01-03 15:00:00+00:00,11410.85,1674.7,7794.12,1873.69,14670.76,7153.59,3319.82,1271.54,49169.07
2025-01-03T09:00:00-06:00,2025-01-03 15:00:00+00:00,2025-01-03T10:00:00-06:00,2025-01-03 16:00:00+00:00,11585.23,1494.4,7833.36,1860.76,14414.61,7233.02,3354.33,1224.71,49000.41
2025-01-03T10:00:00-06:00,2025-01-03 16:00:00+00:00,2025-01-03T11:00:00-06:00,2025-01-03 17:00:00+00:00,11712.62,1453.34,7727.49,1771.18,13889.17,7288.62,3433.89,1219.72,48496.02
2025-01-03T11:00:00-06:00,2025-01-03 17:00:00+00:00,2025-01-03T12:00:00-06:00,2025-01-03 18:00:00+00:00,11812.04,1407.12,7538.92,1798.04,13480.46,7366.13,3491.32,1287.08,48181.1
2025-01-03T12:00:00-06:00,2025-01-03 18:00:00+00:00,2025-01-03T13:00:00-06:00,2025-01-03 19:00:00+00:00,11836.5,1408.52,7415.25,1824.3,13158.14,7261.33,3500.28,1220.22,47624.55
2025-01-03T13:00:00-06:00,2025-01-03 19:00:00+00:00,2025-01-03T14:00:00-06:00,2025-01-03 20:00:00+00:00,11879.27,1361.49,7400.26,1707.37,12795.65,7225.1,3734.49,1195.08,47298.7
2025-01-03T14:00:00-06:00,2025-01-03 20:00:00+00:00,2025-01-03T15:00:00-06:00,2025-01-03 21:00:00+00:00,12193.69,1343.56,7576.88,1702.76,12741.6,7134.56,3886.21,1210.58,47789.85
2025-01-03T15:00:00-06:00,2025-01-03 21:00:00+00:00,2025-01-03T16:00:00-06:00,2025-01-03 22:00:00+00:00,12092.05,1346.94,7389.07,1667.51,12615.82,7162.67,3593.13,1169.17,47036.36
2025-01-03T16:00:00-06:00,2025-01-03 22:00:00+00:00,2025-01-03T17:00:00-06:00,2025-01-03 23:00:00+00:00,11949.26,1401.88,7265.54,1631.92,12481.28,7218.23,3524.15,1158.89,46631.14
2025-01-03T17:00:00-06:00,2025-01-03 23:00:00+00:00,2025-01-03T18:00:00-06:00,2025-01-04 00:00:00+00:00,12039.35,1447.66,7275.21,1639.67,12900.59,7369.99,3614.64,1071.07,47358.18
2025-01-03T18:00:00-06:00,2025-01-04 00:00:00+00:00,2025-01-03T19:00:00-06:00,2025-01-04 01:00:00+00:00,12164.66,1484.09,7411.59,1716.88,13218.0,7573.87,3752.82,1095.96,48417.86
2025-01-03T19:00:00-06:00,2025-01-04 01:00:00+00:00,2025-01-03T20:00:00-06:00,2025-01-04 02:00:00+00:00,12001.09,1507.67,7538.4,1738.0,12999.22,7532.11,3702.11,1105.42,48124.03
2025-01-03T20:00:00-06:00,2025-01-04 02:00:00+00:00,2025-01-03T21:00:00-06:00,2025-01-04 03:00:00+00:00,11797.96,1515.28,7455.58,1724.85,12837.57,7414.79,3643.89,1097.83,47487.76
2025-01-03T21:00:00-06:00,2025-01-04 03:00:00+00:00,2025-01-03T22:00:00-06:00,2025-01-04 04:00:00+00:00,11587.28,1548.59,7440.69,1660.72,12591.96,7228.28,3592.66,1108.25,46758.43
2025-01-03T22:00:00-06:00,2025-01-04 04:00:00+00:00,2025-01-03T23:00:00-06:00,2025-01-04 05:00:00+00:00,11290.55,1472.74,7425.87,1607.62,12202.99,6968.57,3500.62,1110.67,45579.63
2025-01-03T23:00:00-06:00,2025-01-04 05:00:00+00:00,2025-01-04T00:00:00-06:00,2025-01-04 06:00:00+00:00,10870.71,1387.57,7419.45,1552.25,11648.43,6600.89,3390.9,1092.23,43962.44
